Friday,06,March,2026,20:41:26
038 906 012 FB,,1.9l R4 EDC 0000SG  3350,

,Group A:,'011,,,,Group B:,'003,,,,Group C:,'008
,,Engine Speed,Boost,Boost,Charge Pressure,,Engine Speed,Air Mass,Air Mass,EGR Solenoid,,Engine Speed,Torque Request,Torque Limitation,Smoke Limitation
,TIME,(G28),Specified,Actual,(N75) Solenoid,TIME,(G28),Specified,Actual,(N18),TIME,(G28),(Driver), via Speed / RPM,
Marker,STAMP, /min, mbar, mbar, %,STAMP, /min, mg/str, mg/str, %,STAMP, /min, mg/str, mg/str, mg/str
,0.01,1554,1836.0,1519.8,25.9,0.33,1617,850.0,630.0,4.8,0.68,1680,45.6,40.6,32.8
,1.05,1743,1938.0,1795.2,41.0,1.38,1806,850.0,745.0,4.8,1.73,1911,45.2,42.4,38.2
,2.06,1953,1999.2,2182.8,62.6,2.39,2037,850.0,865.0,4.8,2.76,2142,44.8,41.6,40.2
,3.13,2205,1999.2,1978.8,56.2,3.48,2289,850.0,715.0,4.8,3.80,2352,44.6,41.2,33.2
,4.15,2415,1999.2,1785.0,47.4,4.51,2478,850.0,680.0,4.8,4.86,2520,44.4,41.0,32.4
,5.23,2583,1999.2,1825.8,49.4,5.58,2646,850.0,685.0,4.8,5.93,2709,44.2,40.8,33.0
,6.26,2772,1999.2,1917.6,50.6,6.61,2814,850.0,695.0,4.8,6.97,2877,44.0,40.6,33.2
,7.31,2919,2009.4,1999.2,53.4,7.66,2982,850.0,705.0,4.8,7.98,3045,43.8,40.2,33.2
,8.31,3087,2019.6,2029.8,54.6,8.66,3150,850.0,695.0,4.8,9.03,3192,43.8,40.0,32.8
,9.38,3255,2029.8,2040.0,55.4,9.71,3297,850.0,685.0,4.8,10.05,3360,43.8,39.6,32.6
,10.39,3402,2040.0,2060.4,56.6,10.75,3444,850.0,675.0,4.8,11.11,3486,43.8,39.0,32.2
,11.46,3549,2040.0,2060.4,58.2,11.81,3591,850.0,660.0,4.8,12.14,3654,43.8,38.6,32.0
,12.50,3696,2040.0,2060.4,58.6,12.86,3738,850.0,650.0,4.8,13.23,3780,32.8,38.4,31.4
Monday,13,April,2026,21:49:11
038 906 012 FB,,1.9l R4 EDC 0000SG  3350,

,Group A:,'011,,,,Group B:,'003,,,,Group C:,'008
,,Engine Speed,Boost,Boost,Charge Pressure,,Engine Speed,Air Mass,Air Mass,EGR Solenoid,,Engine Speed,Torque Request,Torque Limitation,Smoke Limitation
,TIME,(G28),Specified,Actual,(N75) Solenoid,TIME,(G28),Specified,Actual,(N18),TIME,(G28),(Driver), via Speed / RPM,
Marker,STAMP, /min, mbar, mbar, %,STAMP, /min, mg/str, mg/str, %,STAMP, /min, mg/str, mg/str, mg/str
,0.00,1617,1652.4,1326.0,51.0,0.43,1680,850.0,585.0,4.8,0.83,1743,45.4,41.2,31.2
,1.23,1827,1968.6,1734.0,36.3,1.63,1890,850.0,805.0,4.8,2.06,1995,45.0,42.0,43.6
,2.47,2100,1999.2,2203.2,67.3,2.89,2205,850.0,800.0,4.8,3.29,2289,44.6,41.4,36.0
,3.68,2373,1999.2,1876.8,55.0,4.10,2457,850.0,680.0,4.8,4.51,2520,44.4,41.0,32.2
,4.93,2604,1999.2,1785.0,50.6,5.33,2667,850.0,675.0,4.8,5.76,2730,44.2,40.8,32.4
,6.17,2793,2009.4,1876.8,52.6,6.59,2856,850.0,690.0,4.8,6.99,2940,44.0,40.4,33.0
,7.42,3003,2009.4,1958.4,53.4,7.83,3066,850.0,690.0,4.8,8.25,3129,43.8,40.2,32.8
,8.65,3192,2019.6,2019.6,55.4,9.05,3255,850.0,690.0,4.8,9.48,3318,43.8,39.8,32.6
,9.89,3381,2040.0,2050.2,56.6,10.31,3444,850.0,675.0,4.8,10.71,3486,43.8,39.0,32.4
,11.11,3549,2040.0,2060.4,57.8,11.50,3612,850.0,670.0,4.8,11.92,3675,43.8,38.6,31.6
,12.35,3717,2040.0,2060.4,59.0,12.75,3780,850.0,650.0,4.8,13.18,3822,43.8,38.4,30.8
,13.58,3864,2040.0,2040.0,58.6,13.99,3927,850.0,630.0,4.8,14.41,3969,43.8,38.4,29.4
,14.81,4011,2040.0,2019.6,57.8,15.21,4053,850.0,605.0,4.8,15.61,4074,31.4,38.2,27.2
,16.04,3507,1060.8,1642.2,35.9,16.47,2667,310.0,475.0,4.8,16.87,1890,0.0,42.4,24.6
